Name,Trace_id,Point_id,Start_x,Start_y,Start_z,End_x,End_y,End_z,Cost,Cost_Mode
measurements.Trace,22633,0,526310,3.5748e+06,1091.8,526310,3.5748e+06,1091.8,279,4
measurements.Trace,22633,1,526310,3.5748e+06,1091.8,526310,3.5748e+06,1091.76,78,4
measurements.Trace,22633,2,526310,3.5748e+06,1091.76,526310,3.5748e+06,1091.74,42,4
measurements.Trace,22633,3,526310,3.5748e+06,1091.74,526310,3.5748e+06,1091.74,33,4
measurements.Trace,22633,4,526310,3.5748e+06,1091.74,526310,3.5748e+06,1091.74,35,4
measurements.Trace,22633,5,526310,3.5748e+06,1091.74,526310,3.5748e+06,1091.76,68,4
measurements.Trace,22633,6,526310,3.5748e+06,1091.76,526310,3.5748e+06,1091.8,96,4
measurements.Trace,22633,7,526310,3.5748e+06,1091.8,526310,3.5748e+06,1091.8,96,4
measurements.Trace,22633,8,526310,3.5748e+06,1091.8,526310,3.5748e+06,1091.8,96,4
measurements.Trace,22633,9,526310,3.5748e+06,1091.8,526310,3.5748e+06,1091.76,68,4
measurements.Trace,22633,10,526310,3.5748e+06,1091.76,526310,3.5748e+06,1091.72,33,4
measurements.Trace,22633,11,526310,3.5748e+06,1091.72,526310,3.5748e+06,1091.71,11,4
measurements.Trace,22633,12,526310,3.5748e+06,1091.71,526310,3.5748e+06,1091.71,11,4
measurements.Trace,22633,13,526310,3.5748e+06,1091.71,526310,3.5748e+06,1091.7,9,4
measurements.Trace,22633,14,526310,3.5748e+06,1091.7,526310,3.5748e+06,1091.7,21,4
measurements.Trace,22633,15,526310,3.5748e+06,1091.7,526310,3.5748e+06,1091.73,191,4
measurements.Trace,22633,16,526310,3.5748e+06,1091.73,526310,3.5748e+06,1091.73,191,4
measurements.Trace,22633,17,526310,3.5748e+06,1091.73,526310,3.5748e+06,1091.73,191,4
measurements.Trace,22633,18,526310,3.5748e+06,1091.73,526310,3.5748e+06,1091.7,25,4
measurements.Trace,22633,19,526310,3.5748e+06,1091.7,526310,3.5748e+06,1091.69,24,4
measurements.Trace,22633,20,526310,3.5748e+06,1091.69,526310,3.5748e+06,1091.72,25,4
measurements.Trace,22633,21,526310,3.5748e+06,1091.72,526310,3.5748e+06,1091.7,113,4
measurements.Trace,22633,22,526310,3.5748e+06,1091.7,526310,3.5748e+06,1091.7,113,4
measurements.Trace,22633,23,526310,3.5748e+06,1091.7,526310,3.5748e+06,1091.7,113,4
measurements.Trace,22633,24,526310,3.5748e+06,1091.7,526310,3.5748e+06,1091.66,50,4
measurements.Trace,22633,25,526310,3.5748e+06,1091.66,526310,3.5748e+06,1091.62,30,4
measurements.Trace,22633,26,526310,3.5748e+06,1091.62,526310,3.5748e+06,1091.62,21,4
measurements.Trace,22633,27,526310,3.5748e+06,1091.62,526310,3.5748e+06,1091.65,268,4
measurements.Trace,22633,28,526310,3.5748e+06,1091.65,526310,3.5748e+06,1091.65,268,4
measurements.Trace,22633,29,526310,3.5748e+06,1091.65,526310,3.5748e+06,1091.65,268,4
measurements.Trace,22633,30,526310,3.5748e+06,1091.65,526310,3.5748e+06,1091.67,113,4
measurements.Trace,22633,31,526310,3.5748e+06,1091.67,526310,3.5748e+06,1091.66,114,4
measurements.Trace,22633,32,526310,3.5748e+06,1091.66,526310,3.5748e+06,1091.66,86,4
measurements.Trace,22633,33,526310,3.5748e+06,1091.66,526310,3.5748e+06,1091.66,86,4
measurements.Trace,22633,34,526310,3.5748e+06,1091.66,526310,3.5748e+06,1091.66,86,4
measurements.Trace,22633,35,526310,3.5748e+06,1091.66,526310,3.5748e+06,1091.62,213,4
measurements.Trace,22633,36,526310,3.5748e+06,1091.62,526310,3.5748e+06,1091.61,301,4
measurements.Trace,22633,37,526310,3.5748e+06,1091.61,526310,3.5748e+06,1091.61,301,4
measurements.Trace,22633,38,526310,3.5748e+06,1091.61,526310,3.5748e+06,1091.61,301,4
measurements.Trace,22633,39,526310,3.5748e+06,1091.61,526310,3.5748e+06,1091.57,37,4
measurements.Trace,22633,40,526310,3.5748e+06,1091.57,526310,3.5748e+06,1091.55,34,4
measurements.Trace,22633,41,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.55,51,4
measurements.Trace,22633,42,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.55,51,4
measurements.Trace,22633,43,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.55,51,4
measurements.Trace,22633,44,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.55,30,4
measurements.Trace,22633,45,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.55,30,4
measurements.Trace,22633,46,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.55,30,4
measurements.Trace,22633,47,526310,3.5748e+06,1091.55,526310,3.5748e+06,1091.54,24,4
measurements.Trace,22633,48,526310,3.5748e+06,1091.54,526310,3.5748e+06,1091.54,24,4
measurements.Trace,22633,49,526310,3.5748e+06,1091.54,526310,3.5748e+06,1091.54,24,4
measurements.Trace,22633,50,526310,3.5748e+06,1091.54,526310,3.5748e+06,1091.53,24,4
measurements.Trace,22633,51,526310,3.5748e+06,1091.53,526310,3.5748e+06,1091.52,20,4
measurements.Trace,22633,52,526310,3.5748e+06,1091.52,526310,3.5748e+06,1091.52,290,4
measurements.Trace,22633,53,526310,3.5748e+06,1091.52,526310,3.5748e+06,1091.52,290,4
measurements.Trace,22633,54,526310,3.5748e+06,1091.52,526310,3.5748e+06,1091.52,290,4
measurements.Trace,22633,55,526310,3.5748e+06,1091.52,526310,3.5748e+06,1091.5,24,4
measurements.Trace,22633,56,526310,3.5748e+06,1091.5,526310,3.5748e+06,1091.47,26,4
measurements.Trace,22633,57,526310,3.5748e+06,1091.47,526310,3.5748e+06,1091.44,78,4
measurements.Trace,22633,58,526310,3.5748e+06,1091.44,526310,3.5748e+06,1091.44,78,4
measurements.Trace,22633,59,526310,3.5748e+06,1091.44,526310,3.5748e+06,1091.44,78,4
measurements.Trace,22633,60,526310,3.5748e+06,1091.44,526310,3.5748e+06,1091.44,11,4
measurements.Trace,22633,61,526310,3.5748e+06,1091.44,526310,3.5748e+06,1091.43,7,4
measurements.Trace,22633,62,526310,3.5748e+06,1091.43,526310,3.5748e+06,1091.45,19,4
measurements.Trace,22633,63,526310,3.5748e+06,1091.45,526310,3.5748e+06,1091.48,133,4
measurements.Trace,22633,64,526310,3.5748e+06,1091.48,526310,3.5748e+06,1091.48,133,4
measurements.Trace,22633,65,526310,3.5748e+06,1091.48,526310,3.5748e+06,1091.48,133,4
measurements.Trace,22633,66,526310,3.5748e+06,1091.48,526310,3.5748e+06,1091.46,59,4
measurements.Trace,22633,67,526310,3.5748e+06,1091.46,526310,3.5748e+06,1091.42,6,4
measurements.Trace,22633,68,526310,3.5748e+06,1091.42,526310,3.5748e+06,1091.39,7,4
measurements.Trace,22633,69,526310,3.5748e+06,1091.39,526310,3.5748e+06,1091.38,11,4
measurements.Trace,22633,70,526310,3.5748e+06,1091.38,526310,3.5748e+06,1091.37,8,4
measurements.Trace,22633,71,526310,3.5748e+06,1091.37,526310,3.5748e+06,1091.38,293,4
measurements.Trace,22633,72,526310,3.5748e+06,1091.38,526310,3.5748e+06,1091.38,293,4
measurements.Trace,22633,73,526310,3.5748e+06,1091.38,526310,3.5748e+06,1091.38,293,4
measurements.Trace,22633,74,526310,3.5748e+06,1091.38,526310,3.5748e+06,1091.35,23,4
measurements.Trace,22633,75,526310,3.5748e+06,1091.35,526310,3.5748e+06,1091.33,13,4
measurements.Trace,22633,76,526310,3.5748e+06,1091.33,526310,3.5748e+06,1091.31,16,4
measurements.Trace,22633,77,526310,3.5748e+06,1091.31,526310,3.5748e+06,1091.29,11,4
measurements.Trace,22633,78,526310,3.5748e+06,1091.29,526310,3.5748e+06,1091.28,15,4
measurements.Trace,22633,79,526310,3.5748e+06,1091.28,526310,3.5748e+06,1091.27,19,4
measurements.Trace,22633,80,526310,3.5748e+06,1091.27,526310,3.5748e+06,1091.27,7,4
measurements.Trace,22633,81,526310,3.5748e+06,1091.27,526310,3.5748e+06,1091.26,18,4
measurements.Trace,22633,82,526310,3.5748e+06,1091.26,526310,3.5748e+06,1091.3,282,4
measurements.Trace,22633,83,526310,3.5748e+06,1091.3,526310,3.5748e+06,1091.3,282,4
measurements.Trace,22633,84,526310,3.5748e+06,1091.3,526310,3.5748e+06,1091.3,282,4
measurements.Trace,22633,85,526310,3.5748e+06,1091.3,526310,3.5748e+06,1091.26,24,4
measurements.Trace,22633,86,526310,3.5748e+06,1091.26,526310,3.5748e+06,1091.24,12,4
measurements.Trace,22633,87,526310,3.5748e+06,1091.24,526310,3.5748e+06,1091.23,17,4
measurements.Trace,22633,88,526310,3.5748e+06,1091.23,526310,3.5748e+06,1091.21,11,4
measurements.Trace,22633,89,526310,3.5748e+06,1091.21,526310,3.5748e+06,1091.22,32,4
measurements.Trace,22633,90,526310,3.5748e+06,1091.22,526310,3.5748e+06,1091.26,321,4
measurements.Trace,22633,91,526310,3.5748e+06,1091.26,526310,3.5748e+06,1091.26,321,4
measurements.Trace,22633,92,526310,3.5748e+06,1091.26,526310,3.5748e+06,1091.26,321,4
measurements.Trace,22633,93,526310,3.5748e+06,1091.26,526310,3.5748e+06,1091.22,32,4
measurements.Trace,22633,94,526310,3.5748e+06,1091.22,526310,3.5748e+06,1091.19,28,4
measurements.Trace,22633,95,526310,3.5748e+06,1091.19,526310,3.5748e+06,1091.19,21,4
measurements.Trace,22633,96,526310,3.5748e+06,1091.19,526310,3.5748e+06,1091.17,31,4
measurements.Trace,22633,97,526310,3.5748e+06,1091.17,526310,3.5748e+06,1091.17,39,4
measurements.Trace,22633,98,526310,3.5748e+06,1091.17,526310,3.5748e+06,1091.15,51,4
measurements.Trace,22633,99,526310,3.5748e+06,1091.15,526310,3.5748e+06,1091.14,35,4
measurements.Trace,22633,100,526310,3.5748e+06,1091.14,526310,3.5748e+06,1091.14,34,4
measurements.Trace,22633,101,526310,3.5748e+06,1091.14,526310,3.5748e+06,1091.13,28,4
measurements.Trace,22633,102,526310,3.5748e+06,1091.13,526310,3.5748e+06,1091.11,22,4
measurements.Trace,22633,103,526310,3.5748e+06,1091.11,526310,3.5748e+06,1091.11,9,4
measurements.Trace,22633,104,526310,3.5748e+06,1091.11,526310,3.5748e+06,1091.14,201,4
measurements.Trace,22633,105,526310,3.5748e+06,1091.14,526310,3.5748e+06,1091.14,201,4
measurements.Trace,22633,106,526310,3.5748e+06,1091.14,526310,3.5748e+06,1091.14,201,4
measurements.Trace,22633,107,526310,3.5748e+06,1091.14,526310,3.5748e+06,1091.11,15,4
measurements.Trace,22633,108,526310,3.5748e+06,1091.11,526310,3.5748e+06,1091.1,20,4
measurements.Trace,22633,109,526310,3.5748e+06,1091.1,526310,3.5748e+06,1091.08,27,4
measurements.Trace,22633,110,526310,3.5748e+06,1091.08,526310,3.5748e+06,1091.09,22,4
measurements.Trace,22633,111,526310,3.5748e+06,1091.09,526310,3.5748e+06,1091.07,28,4
measurements.Trace,22633,112,526310,3.5748e+06,1091.07,526310,3.5748e+06,1091.05,42,4
measurements.Trace,22633,113,526310,3.5748e+06,1091.05,526310,3.5748e+06,1091.06,97,4
measurements.Trace,22633,114,526310,3.5748e+06,1091.06,526310,3.5748e+06,1091.08,355,4
measurements.Trace,22633,115,526310,3.5748e+06,1091.08,526310,3.5748e+06,1091.08,355,4
measurements.Trace,22633,116,526310,3.5748e+06,1091.08,526310,3.5748e+06,1091.08,355,4
measurements.Trace,22633,117,526310,3.5748e+06,1091.08,526311,3.5748e+06,1091.04,154,4
measurements.Trace,22633,118,526311,3.5748e+06,1091.04,526311,3.5748e+06,1091.02,55,4
measurements.Trace,22633,119,526311,3.5748e+06,1091.02,526311,3.5748e+06,1091.01,42,4
measurements.Trace,22633,120,526311,3.5748e+06,1091.01,526311,3.5748e+06,1091,39,4
measurements.Trace,22633,121,526311,3.5748e+06,1091,526311,3.5748e+06,1090.99,42,4
measurements.Trace,22633,122,526311,3.5748e+06,1090.99,526311,3.5748e+06,1090.97,63,4
measurements.Trace,22633,123,526311,3.5748e+06,1090.97,526311,3.5748e+06,1090.96,53,4
measurements.Trace,22633,124,526311,3.5748e+06,1090.96,526311,3.5748e+06,1090.94,49,4
measurements.Trace,22633,125,526311,3.5748e+06,1090.94,526311,3.5748e+06,1090.96,274,4
measurements.Trace,22633,126,526311,3.5748e+06,1090.96,526311,3.5748e+06,1091,465,4
measurements.Trace,22633,127,526311,3.5748e+06,1091,526311,3.5748e+06,1091,465,4
measurements.Trace,22633,128,526311,3.5748e+06,1091,526311,3.5748e+06,1091,465,4
measurements.Trace,22633,129,526311,3.5748e+06,1091,526311,3.5748e+06,1090.96,274,4
measurements.Trace,22633,130,526311,3.5748e+06,1090.96,526311,3.5748e+06,1090.94,111,4
measurements.Trace,22633,131,526311,3.5748e+06,1090.94,526311,3.5748e+06,1090.91,58,4
measurements.Trace,22633,132,526311,3.5748e+06,1090.91,526311,3.57479e+06,1090.9,74,4
measurements.Trace,22633,133,526311,3.57479e+06,1090.9,526311,3.57479e+06,1090.89,84,4
measurements.Trace,22633,134,526311,3.57479e+06,1090.89,526311,3.57479e+06,1090.87,38,4
measurements.Trace,22633,135,526311,3.57479e+06,1090.87,526311,3.57479e+06,1090.86,60,4
measurements.Trace,22633,136,526311,3.57479e+06,1090.86,526311,3.57479e+06,1090.88,317,4
measurements.Trace,22633,137,526311,3.57479e+06,1090.88,526311,3.57479e+06,1090.88,317,4
measurements.Trace,22633,138,526311,3.57479e+06,1090.88,526311,3.57479e+06,1090.88,317,4
measurements.Trace,22633,139,526311,3.57479e+06,1090.88,526311,3.57479e+06,1090.85,318,4
measurements.Trace,22633,140,526311,3.57479e+06,1090.85,526311,3.57479e+06,1090.81,126,4
measurements.Trace,22633,141,526311,3.57479e+06,1090.81,526311,3.57479e+06,1090.8,18,4
measurements.Trace,22633,142,526311,3.57479e+06,1090.8,526311,3.57479e+06,1090.79,17,4
measurements.Trace,22633,143,526311,3.57479e+06,1090.79,526311,3.57479e+06,1090.77,50,4
measurements.Trace,22633,144,526311,3.57479e+06,1090.77,526311,3.57479e+06,1090.78,55,4
measurements.Trace,22633,145,526311,3.57479e+06,1090.78,526311,3.57479e+06,1090.79,176,4
measurements.Trace,22633,146,526311,3.57479e+06,1090.79,526311,3.57479e+06,1090.82,331,4
measurements.Trace,22633,147,526311,3.57479e+06,1090.82,526311,3.57479e+06,1090.82,331,4
measurements.Trace,22633,148,526311,3.57479e+06,1090.82,526311,3.57479e+06,1090.82,331,4
measurements.Trace,22633,149,526311,3.57479e+06,1090.82,526311,3.57479e+06,1090.79,164,4
measurements.Trace,22633,150,526311,3.57479e+06,1090.79,526311,3.57479e+06,1090.76,260,4
measurements.Trace,22633,151,526311,3.57479e+06,1090.76,526311,3.57479e+06,1090.79,368,4
measurements.Trace,22633,152,526311,3.57479e+06,1090.79,526311,3.57479e+06,1090.79,368,4
measurements.Trace,22633,153,526311,3.57479e+06,1090.79,526311,3.57479e+06,1090.79,368,4
measurements.Trace,22633,154,526311,3.57479e+06,1090.79,526311,3.57479e+06,1090.76,199,4
measurements.Trace,22633,155,526311,3.57479e+06,1090.76,526311,3.57479e+06,1090.71,39,4
measurements.Trace,22633,156,526311,3.57479e+06,1090.71,526311,3.57479e+06,1090.7,47,4
measurements.Trace,22633,157,526311,3.57479e+06,1090.7,526311,3.57479e+06,1090.7,195,4
measurements.Trace,22633,158,526311,3.57479e+06,1090.7,526311,3.57479e+06,1090.7,195,4
measurements.Trace,22633,159,526311,3.57479e+06,1090.7,526311,3.57479e+06,1090.7,195,4
measurements.Trace,22633,160,526311,3.57479e+06,1090.7,526311,3.57479e+06,1090.66,353,4
measurements.Trace,22633,161,526311,3.57479e+06,1090.66,526311,3.57479e+06,1090.66,353,4
measurements.Trace,22633,162,526311,3.57479e+06,1090.66,526311,3.57479e+06,1090.66,353,4
measurements.Trace,22633,163,526311,3.57479e+06,1090.66,526311,3.57479e+06,1090.62,198,4
measurements.Trace,22633,164,526311,3.57479e+06,1090.62,526311,3.57479e+06,1090.6,108,4
measurements.Trace,22633,165,526311,3.57479e+06,1090.6,526311,3.57479e+06,1090.62,473,4
measurements.Trace,22633,166,526311,3.57479e+06,1090.62,526311,3.57479e+06,1090.62,473,4
measurements.Trace,22633,167,526311,3.57479e+06,1090.62,526311,3.57479e+06,1090.62,473,4
measurements.Trace,22633,168,526311,3.57479e+06,1090.62,526311,3.57479e+06,1090.58,96,4
measurements.Trace,22633,169,526311,3.57479e+06,1090.58,526311,3.57479e+06,1090.56,185,4
measurements.Trace,22633,170,526311,3.57479e+06,1090.56,526311,3.57479e+06,1090.55,143,4
measurements.Trace,22633,171,526311,3.57479e+06,1090.55,526311,3.57479e+06,1090.58,474,4
measurements.Trace,22633,172,526311,3.57479e+06,1090.58,526311,3.57479e+06,1090.58,474,4
measurements.Trace,22633,173,526311,3.57479e+06,1090.58,526311,3.57479e+06,1090.58,474,4
measurements.Trace,22633,174,526311,3.57479e+06,1090.58,526311,3.57479e+06,1090.54,159,4
measurements.Trace,22633,175,526311,3.57479e+06,1090.54,526311,3.57479e+06,1090.51,41,4
measurements.Trace,22633,176,526311,3.57479e+06,1090.51,526311,3.57479e+06,1090.49,18,4
measurements.Trace,22633,177,526311,3.57479e+06,1090.49,526311,3.57479e+06,1090.48,21,4
measurements.Trace,22633,178,526311,3.57479e+06,1090.48,526311,3.57479e+06,1090.48,146,4
measurements.Trace,22633,179,526311,3.57479e+06,1090.48,526311,3.57479e+06,1090.48,146,4
measurements.Trace,22633,180,526311,3.57479e+06,1090.48,526311,3.57479e+06,1090.48,146,4
measurements.Trace,22633,181,526311,3.57479e+06,1090.48,526311,3.57479e+06,1090.44,39,4
measurements.Trace,22633,182,526311,3.57479e+06,1090.44,526311,3.57479e+06,1090.41,119,4
measurements.Trace,22633,183,526311,3.57479e+06,1090.41,526311,3.57479e+06,1090.41,55,4
measurements.Trace,22633,184,526311,3.57479e+06,1090.41,526311,3.57479e+06,1090.38,70,4
measurements.Trace,22633,185,526311,3.57479e+06,1090.38,526311,3.57479e+06,1090.38,45,4
measurements.Trace,22633,186,526311,3.57479e+06,1090.38,526311,3.57479e+06,1090.38,75,4
measurements.Trace,22633,187,526311,3.57479e+06,1090.38,526311,3.57479e+06,1090.38,75,4
measurements.Trace,22633,188,526311,3.57479e+06,1090.38,526311,3.57479e+06,1090.38,75,4
measurements.Trace,22633,189,526311,3.57479e+06,1090.38,526311,3.57479e+06,1090.35,101,4
measurements.Trace,22633,190,526311,3.57479e+06,1090.35,526311,3.57479e+06,1090.35,101,4
measurements.Trace,22633,191,526311,3.57479e+06,1090.35,526311,3.57479e+06,1090.35,101,4
measurements.Trace,22633,192,526311,3.57479e+06,1090.35,526311,3.57479e+06,1090.32,85,4
measurements.Trace,22633,193,526311,3.57479e+06,1090.32,526311,3.57479e+06,1090.32,92,4
measurements.Trace,22633,194,526311,3.57479e+06,1090.32,526311,3.57479e+06,1090.3,101,4
measurements.Trace,22633,195,526311,3.57479e+06,1090.3,526311,3.57479e+06,1090.29,85,4
measurements.Trace,22633,196,526311,3.57479e+06,1090.29,526311,3.57479e+06,1090.32,372,4
measurements.Trace,22633,197,526311,3.57479e+06,1090.32,526311,3.57479e+06,1090.32,372,4
measurements.Trace,22633,198,526311,3.57479e+06,1090.32,526311,3.57479e+06,1090.32,372,4
measurements.Trace,22633,199,526311,3.57479e+06,1090.32,526311,3.57479e+06,1090.29,85,4
measurements.Trace,22633,200,526311,3.57479e+06,1090.29,526311,3.57479e+06,1090.28,99,4
measurements.Trace,22633,201,526311,3.57479e+06,1090.28,526311,3.57479e+06,1090.25,94,4
measurements.Trace,22633,202,526311,3.57479e+06,1090.25,526311,3.57479e+06,1090.24,83,4
measurements.Trace,22633,203,526311,3.57479e+06,1090.24,526311,3.57479e+06,1090.23,78,4
measurements.Trace,22633,204,526311,3.57479e+06,1090.23,526311,3.57479e+06,1090.22,58,4
measurements.Trace,22633,205,526311,3.57479e+06,1090.22,526311,3.57479e+06,1090.24,421,4
measurements.Trace,22633,206,526311,3.57479e+06,1090.24,526311,3.57479e+06,1090.24,421,4
measurements.Trace,22633,207,526311,3.57479e+06,1090.24,526311,3.57479e+06,1090.24,421,4
measurements.Trace,22633,208,526311,3.57479e+06,1090.24,526311,3.57479e+06,1090.22,81,4
measurements.Trace,22633,209,526311,3.57479e+06,1090.22,526311,3.57479e+06,1090.2,78,4
measurements.Trace,22633,210,526311,3.57479e+06,1090.2,526311,3.57479e+06,1090.18,94,4
measurements.Trace,22633,211,526311,3.57479e+06,1090.18,526311,3.57479e+06,1090.18,64,4
measurements.Trace,22633,212,526311,3.57479e+06,1090.18,526311,3.57479e+06,1090.18,64,4
measurements.Trace,22633,213,526311,3.57479e+06,1090.18,526311,3.57479e+06,1090.18,64,4
measurements.Trace,22633,214,526311,3.57479e+06,1090.18,526311,3.57479e+06,1090.16,99,4
measurements.Trace,22633,215,526311,3.57479e+06,1090.16,526311,3.57479e+06,1090.15,64,4
measurements.Trace,22633,216,526311,3.57479e+06,1090.15,526311,3.57479e+06,1090.13,81,4
measurements.Trace,22633,217,526311,3.57479e+06,1090.13,526311,3.57479e+06,1090.12,37,4
measurements.Trace,22633,218,526311,3.57479e+06,1090.12,526311,3.57479e+06,1090.14,402,4
measurements.Trace,22633,219,526311,3.57479e+06,1090.14,526311,3.57479e+06,1090.14,402,4
measurements.Trace,22633,220,526311,3.57479e+06,1090.14,526311,3.57479e+06,1090.14,402,4
measurements.Trace,22633,221,526311,3.57479e+06,1090.14,526311,3.57479e+06,1090.12,62,4
measurements.Trace,22633,222,526311,3.57479e+06,1090.12,526311,3.57479e+06,1090.1,172,4
measurements.Trace,22633,223,526311,3.57479e+06,1090.1,526311,3.57479e+06,1090.1,256,4
measurements.Trace,22633,224,526311,3.57479e+06,1090.1,526311,3.57479e+06,1090.12,292,4
measurements.Trace,22633,225,526311,3.57479e+06,1090.12,526311,3.57479e+06,1090.12,292,4
measurements.Trace,22633,226,526311,3.57479e+06,1090.12,526311,3.57479e+06,1090.12,292,4
measurements.Trace,22633,227,526311,3.57479e+06,1090.12,526311,3.57479e+06,1090.09,277,4
measurements.Trace,22633,228,526311,3.57479e+06,1090.09,526311,3.57479e+06,1090.06,65,4
measurements.Trace,22633,229,526311,3.57479e+06,1090.06,526311,3.57479e+06,1090.04,53,4
measurements.Trace,22633,230,526311,3.57479e+06,1090.04,526311,3.57479e+06,1090.03,28,4
measurements.Trace,22633,231,526311,3.57479e+06,1090.03,526311,3.57479e+06,1090.07,396,4
measurements.Trace,22633,232,526311,3.57479e+06,1090.07,526311,3.57479e+06,1090.07,396,4
measurements.Trace,22633,233,526311,3.57479e+06,1090.07,526311,3.57479e+06,1090.07,396,4
measurements.Trace,22633,234,526311,3.57479e+06,1090.07,526311,3.57479e+06,1090.03,92,4
measurements.Trace,22633,235,526311,3.57479e+06,1090.03,526311,3.57479e+06,1090.01,31,4
measurements.Trace,22633,236,526311,3.57479e+06,1090.01,526311,3.57479e+06,1090.01,38,4
measurements.Trace,22633,237,526311,3.57479e+06,1090.01,526311,3.57479e+06,1090,49,4
measurements.Trace,22633,238,526311,3.57479e+06,1090,526311,3.57479e+06,1090.02,144,4
measurements.Trace,22633,239,526311,3.57479e+06,1090.02,526311,3.57479e+06,1090.05,402,4
